uvrstitev,id,naslov,avtor,povp_ocena,st_ocen,ocena,st_glasov,zbirka,zap_st_knjige_v_zbirki
1419,25893693,Lilac Girls,Martha Hall Kelly,4.27,250490,282,3,,
1425,33453,You Suck,Christopher Moore,3.82,48394,281,3,A Love Story,2
1425,13223349,"Batman, Volume 1: The Court of Owls",Scott Snyder,4.33,47548,281,4,,
1425,6469165,What Alice Forgot,Liane Moriarty,4.07,394575,281,3,,
1425,57313112,The High Auction,Misba,4.69,582,281,3,Wisdom Revolution,1
1429,29920,Rise to Rebellion,Jeff Shaara,4.20,8432,280,3,,
1429,11500217,Angelfall,Susan Ee,4.10,188224,280,3,Penryn &amp; the End of Days,1
1429,1820716,Gut gegen Nordwind,Daniel Glattauer,3.87,22297,280,4,Gut gegen Nordwind,1
1429,2033352,Frelseren,Jo Nesbø,4.07,42883,280,4,Harry Hole,6
1429,19034943,The Secret Commonwealth,Philip Pullman,4.05,42424,280,3,The Book of Dust,2
1434,17347389,The Dream Thieves,Maggie Stiefvater,4.20,177193,279,4,The Raven Cycle,2
1434,13255656,Saving Brooksie,Scott McElhaney,3.96,100,279,3,,
1434,23164983,Hollow City,Ransom Riggs,4.03,225664,279,3,Miss Peregrine's Peculiar Children,2
1434,25499718,Children of Time,Adrian Tchaikovsky,4.27,75032,279,3,Children of Time,1
1438,910863,Spin,Robert Charles Wilson,4.02,39104,278,3,Spin,1
1438,22733616,Neverseen,Shannon Messenger,4.64,22237,278,3,Keeper of the Lost Cities,4
1440,6206,Elizabeth Costello,J.M. Coetzee,3.45,8288,277,5,,
1441,8407173,Jasper Jones,Craig Silvey,4.10,30387,276,3,,
1441,234724,Shadow Puppets,Orson Scott Card,3.90,57334,276,4,The Shadow Series,3
1441,3722183,A God in Ruins,Kate Atkinson,3.93,52666,276,3,Todd Family,2
1441,26114135,All the Ugly and Wonderful Things,Bryn Greenwood,4.03,118374,276,3,,
1445,2104746,Rhett Butler's People,Donald McCaig,3.79,19204,275,3,,
1446,583924,Undead and Unappreciated,MaryJanice Davidson,3.88,22188,274,4,Undead,3
